store_title,store_addr,gu,dong
파리바게뜨 공릉풍림,서울시 노원구 섬밭로 139,노원구,공릉동
파리바게뜨 장위참누리,서울특별시 성북구 월계로40길 7 107호,성북구,장위동
파리바게뜨 암사역,서울시 강동구 올림픽로 777,강동구,암사동
파리바게뜨 미아경남,서울시 강북구 오패산로 130 1층,강북구,미아동
파리바게뜨 자양현대,서울특별시 광진구 자양동 553-502,광진구,자양동
파리바게뜨 황학롯데,서울시 중구 황학동 2545 롯데캐슬베네치아몰 1층,중구,황학동
파리바게뜨 보문역,서울특별시 성북구 보문로 119,성북구,보문동2가
파리바게뜨 신당역아크로,서울 중구 퇴계로 447,중구,황학동
파리바게뜨 뚝도시장,서울시 성동구 성수동2가 507-1,성동구,성수동2가
파리바게뜨 길음역,서울 성북구 동소문로 248,성북구,길음동
파리바게뜨 미아사거리역,서울시 강북구 도봉로8길 11,강북구,미아동
파리바게뜨 자양2호,서울시 광진구 자양동 606-10,광진구,자양동
파리바게뜨 뚝섬유원지역,서울특별시 광진구 자양동 855,광진구,자양동
파리바게뜨 암사브라운스톤,서울시 강동구 올림픽로92길 61,강동구,천호동
파리바게뜨 월계롯데,서울 노원구 월계로45길 28,노원구,월계동
파리바게뜨 성북구청,서울시 성북구 삼선동 5가 328,성북구,삼선동5가
파리바게뜨 응봉,서울특별시 성동구 응봉동 200-1 지상1층,성동구,응봉동
파리바게뜨 성신여대,서울 성북구 동선동1가 99,성북구,동선동1가
파리바게뜨 길음래미안,서울 성북구 길음동 1283-4,성북구,길음동
파리바게뜨 월계사슴,서울시 노원구 월계동 321-2 희성프라자 1층 109호,노원구,월계동
파리바게뜨 신당,서울특별시 중구 다산로44길 53 삼원상가 104호,중구,신당동
파리바게뜨 암사양지,서울 강동구 고덕로 102,강동구,암사동
파리바게뜨 하계미성,서울 노원구 공릉로59길 18,노원구,하계동
파리바게뜨 정릉대림,서울 성북구 정릉동 1035-6,성북구,정릉동
파리바게뜨 금호1가,서울 성동구 난계로 35,성동구,금호동1가
파리바게뜨 미아영훈,서울특별시 강북구 도봉로13길 13,강북구,미아동
파리바게뜨 동묘역,서울특별시 종로구 지봉로 43,종로구,창신동
파리바게뜨 동소문,서울특별시 성북구 아리랑로 15,성북구,동소문동6가
파리바게뜨 천호중앙,서울 강동구 올림픽로 665 1층,강동구,천호동
파리바게뜨 암사롯데캐슬,서울 강동구 고덕로 133 1층,강동구,암사동
파리바게뜨 정릉제일,서울특별시 성북구 정릉로 307,성북구,정릉동
파리바게뜨 하계벽산,서울 노원구 섬밭로 209,노원구,하계동
파리바게뜨 길음동부,서울시 성북구 길음동 1125-6,성북구,길음동
파리바게뜨 번동주공,서울특별시 강북구 한천로 109길 53,강북구,번동
